document_id,course_id,course_docs,course_views_30d,institution_id,country,views_past29days,views_h_m24,views_h_m22,views_h_m20,views_h_m18,views_h_m16,views_h_m14,views_h_m12,views_h_m10,views_h_m08,views_h_m06,views_h_m04,views_h_m02,views_d_01
41122206,4527748,212,4045,327,US,105,0,0,0,0,0,0,0,0,0,0,0,0,1
43748598,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44113914,4527748,212,4045,327,US,42,0,0,0,0,0,0,0,0,0,0,0,0,0
44113938,4527748,212,4045,327,US,23,0,0,0,0,0,0,0,0,0,0,0,0,0
44113970,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44387625,4527748,212,4045,327,US,30,0,0,0,0,0,0,0,0,0,0,0,0,0
44675883,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44675929,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44675938,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44675943,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44675950,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45752990,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
46040431,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
46920884,4527748,212,4045,327,US,32,0,0,0,0,0,0,0,0,0,0,0,0,0
46922833,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46922838,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
46922849,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46922857,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46922859,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46922864,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46922871,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47866665,4527748,212,4045,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
47937431,4527748,212,4045,327,US,20,0,0,0,0,0,0,0,0,0,0,0,0,0
48714565,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49578007,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50637645,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50915352,4527748,212,4045,327,US,127,0,0,1,0,0,0,0,0,0,0,0,0,0
51640188,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
51785290,4527748,212,4045,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
52965438,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54529835,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55101662,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55101861,4527748,212,4045,327,US,71,0,0,0,0,0,0,0,0,0,0,0,0,0
55101963,4527748,212,4045,327,US,20,0,0,0,1,0,1,1,0,0,0,0,0,1
56060973,4527748,212,4045,327,US,75,0,0,0,0,0,0,0,0,0,0,0,0,0
56089046,4527748,212,4045,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
56095434,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60486471,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60487201,4527748,212,4045,327,US,24,0,0,0,0,0,0,0,0,0,0,0,0,0
63111772,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63146139,4527748,212,4045,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
63278626,4527748,212,4045,327,US,12,0,0,2,0,0,0,0,0,0,0,0,0,0
63437151,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63460351,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,1,0,0,0,0,0
63484857,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
63484862,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63484869,4527748,212,4045,327,US,10,0,0,0,0,0,0,0,0,0,0,0,0,0
63484874,4527748,212,4045,327,US,5,0,0,0,0,0,1,0,0,0,0,0,0,1
63484879,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63484883,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63484889,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
63484894,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
63484907,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
63484919,4527748,212,4045,327,US,7,0,0,0,0,0,0,0,0,0,0,0,0,0
63798182,4527748,212,4045,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
63798196,4527748,212,4045,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
63825306,4527748,212,4045,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
64150133,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64167255,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64251896,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
64270151,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
64325204,4527748,212,4045,327,US,33,0,0,0,0,0,0,0,0,0,0,0,0,0
64325362,4527748,212,4045,327,US,52,0,0,0,0,0,0,0,1,0,0,0,0,0
64391702,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
64950979,4527748,212,4045,327,US,26,0,0,0,0,0,0,0,0,0,0,0,0,0
64969495,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64975826,4527748,212,4045,327,US,23,0,1,0,0,0,0,0,0,0,0,0,0,2
64994562,4527748,212,4045,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
65454899,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
65513586,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65643365,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
65804660,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65824906,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66171328,4527748,212,4045,327,US,9,0,0,0,0,0,0,0,0,0,0,0,0,0
67710498,4527748,212,4045,327,US,13,0,0,0,0,0,0,0,0,0,0,0,0,0
67710553,4527748,212,4045,327,US,104,0,1,0,0,0,0,0,0,0,0,0,0,0
67710680,4527748,212,4045,327,US,47,0,2,0,0,1,3,0,0,0,0,0,0,3
67850250,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67946998,4527748,212,4045,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
68030040,4527748,212,4045,327,US,3,0,0,0,0,0,0,1,0,0,0,0,0,0
68091475,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68094195,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68094372,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
68094602,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68094678,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68094901,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68094971,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68245078,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68759568,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68759653,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68759721,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69549206,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69587813,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69945429,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70573859,4527748,212,4045,327,US,60,0,0,0,0,0,0,0,0,0,0,0,0,0
71360450,4527748,212,4045,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
71570683,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71570809,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
72037310,4527748,212,4045,327,US,10,0,0,0,0,0,0,0,0,0,0,0,0,0
72233789,4527748,212,4045,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72273707,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73077308,4527748,212,4045,327,US,9,0,0,0,0,0,0,0,0,0,0,0,0,0
73165887,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73741600,4527748,212,4045,327,US,13,0,0,0,0,0,1,1,0,0,0,0,0,1
73967542,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
74143422,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74143443,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74143459,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74143501,4527748,212,4045,327,US,48,1,1,0,0,0,0,1,0,0,0,0,0,0
74629497,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76310286,4527748,212,4045,327,US,44,0,0,0,0,0,0,0,0,0,0,0,0,0
76589574,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76591062,4527748,212,4045,327,US,21,0,0,0,0,0,0,0,0,0,0,0,0,0
76591081,4527748,212,4045,327,US,37,0,0,0,0,0,0,0,0,0,0,0,0,0
76591103,4527748,212,4045,327,US,59,0,0,0,0,0,0,0,1,0,0,0,0,0
76823795,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77497624,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79407947,4527748,212,4045,327,US,3,0,0,0,0,0,0,1,0,0,0,0,0,0
80581789,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
81294778,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81522520,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82198939,4527748,212,4045,327,US,10,0,0,0,0,0,0,0,0,0,0,0,0,0
82298527,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
82793693,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82800444,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82913791,4527748,212,4045,327,US,10,0,0,0,0,0,0,0,0,0,0,0,0,0
84470629,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,1
84470631,4527748,212,4045,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
84726155,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85014175,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
85565165,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86077592,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86545755,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86568453,4527748,212,4045,327,US,84,0,0,0,0,0,0,0,0,0,0,0,0,0
86642807,4527748,212,4045,327,US,120,0,0,0,0,0,0,0,0,0,0,0,0,0
88873351,4527748,212,4045,327,US,41,0,0,0,0,0,0,0,0,0,0,0,0,0
88881043,4527748,212,4045,327,US,43,0,0,0,0,0,0,0,0,0,0,0,0,0
89032895,4527748,212,4045,327,US,24,0,0,1,0,1,0,1,0,0,0,0,0,1
89185410,4527748,212,4045,327,US,15,0,0,0,0,0,0,0,0,0,0,0,0,0
89337590,4527748,212,4045,327,US,64,0,0,0,0,0,0,0,0,0,0,0,0,0
92028863,4527748,212,4045,327,US,3,0,0,0,0,0,0,1,0,0,0,0,0,0
92554440,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
94891095,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94891271,4527748,212,4045,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94891274,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
94891478,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
94945735,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
95476315,4527748,212,4045,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
95680404,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
96607674,4527748,212,4045,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
97682271,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97721401,4527748,212,4045,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
99372744,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,1,0,0,0
99742948,4527748,212,4045,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8931534,621197,140,3725,327,US,22,0,0,0,0,0,0,0,0,0,0,0,0,0
8931537,621197,140,3725,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8931550,621197,140,3725,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
9428940,621197,140,3725,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9428944,621197,140,3725,327,US,16,0,0,0,0,0,0,0,0,0,0,0,0,0
9818094,621197,140,3725,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9899095,621197,140,3725,327,US,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11965748,621197,140,3725,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12818514,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13236251,621197,140,3725,327,US,26,0,0,0,0,0,0,0,0,0,0,0,0,0
13236252,621197,140,3725,327,US,18,0,0,0,0,0,0,0,0,0,0,0,0,0
13236253,621197,140,3725,327,US,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13236254,621197,140,3725,327,US,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13236255,621197,140,3725,327,US,86,0,0,0,0,0,0,0,0,0,0,0,0,0
18148692,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18148696,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
18264910,621197,140,3725,327,US,10,0,0,0,0,0,0,0,0,0,0,0,0,0
18266449,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19102178,621197,140,3725,327,US,75,0,0,0,0,0,0,0,0,0,0,0,0,1
19133769,621197,140,3725,327,US,21,0,0,0,0,0,0,0,0,0,0,0,0,0
19270205,621197,140,3725,327,US,251,0,0,0,0,0,0,1,0,0,0,0,0,5
20375848,621197,140,3725,327,US,25,0,0,0,0,0,0,0,0,0,0,0,0,0
21513992,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22757015,621197,140,3725,327,US,376,0,0,0,0,0,0,0,0,0,0,0,0,0
24832488,621197,140,3725,327,US,93,0,0,0,0,0,0,0,0,0,0,0,0,0
25070943,621197,140,3725,327,US,376,0,0,0,0,0,0,0,0,0,0,0,0,0
25078061,621197,140,3725,327,US,7,0,0,0,0,0,0,0,0,0,0,0,0,0
26689882,621197,140,3725,327,US,6,2,0,0,0,0,0,0,0,0,0,0,0,0
28036692,621197,140,3725,327,US,32,0,0,0,0,0,0,0,0,0,0,0,0,0
28818771,621197,140,3725,327,US,11,0,0,0,0,0,0,0,0,0,0,0,0,0
29326429,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29556841,621197,140,3725,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29633376,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30836793,621197,140,3725,327,US,57,0,0,0,0,0,0,0,2,0,0,0,0,0
30871798,621197,140,3725,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
30899485,621197,140,3725,327,US,7,0,0,0,0,0,0,0,0,0,0,0,0,0
30899725,621197,140,3725,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
31483446,621197,140,3725,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
31527106,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
32554286,621197,140,3725,327,US,92,0,0,0,0,0,0,0,0,0,0,0,0,0
33980895,621197,140,3725,327,US,12,0,0,0,0,0,0,0,0,0,0,0,0,0
33980902,621197,140,3725,327,US,48,0,0,0,0,0,0,0,0,0,0,0,0,0
34958879,621197,140,3725,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35260211,621197,140,3725,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35260535,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
35262661,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
35444823,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
35444930,621197,140,3725,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
35445339,621197,140,3725,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
35672258,621197,140,3725,327,US,130,2,1,1,0,0,1,3,0,0,0,0,0,3
36082224,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36222171,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
36602261,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
36602306,621197,140,3725,327,US,11,0,0,0,0,0,0,0,0,0,0,0,0,0
37882870,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
38301993,621197,140,3725,327,US,11,0,0,0,0,0,0,0,0,0,0,0,0,0
38302302,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38302306,621197,140,3725,327,US,7,0,0,0,0,0,0,0,0,0,0,0,0,0
38302314,621197,140,3725,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
38302408,621197,140,3725,327,US,8,0,0,0,0,0,0,0,0,0,0,0,0,0
38994564,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
41104745,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44126261,621197,140,3725,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
44394920,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
44394923,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44394931,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44394952,621197,140,3725,327,US,69,0,0,0,0,0,0,0,0,0,0,0,0,0
44394973,621197,140,3725,327,US,80,0,1,0,0,0,1,2,0,0,0,0,0,0
44394981,621197,140,3725,327,US,62,0,0,0,2,2,0,3,2,0,0,0,1,3
45468162,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
46834623,621197,140,3725,327,US,3,0,0,0,0,0,0,0,0,0,0,0,0,0
46834626,621197,140,3725,327,US,12,0,0,0,0,0,0,0,0,0,0,0,0,0
46834628,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
46834631,621197,140,3725,327,US,6,0,0,0,0,0,0,0,0,0,0,0,0,0
47497915,621197,140,3725,327,US,130,0,0,0,0,0,1,0,0,0,0,0,0,0
47497922,621197,140,3725,327,US,17,0,0,0,0,1,0,0,0,0,0,0,0,0
47497937,621197,140,3725,327,US,181,0,0,0,0,0,0,0,0,0,0,0,0,0
47497954,621197,140,3725,327,US,12,0,0,0,0,0,0,0,0,0,0,0,0,0
47497975,621197,140,3725,327,US,190,0,0,0,0,0,0,0,0,0,0,0,0,0
48786407,621197,140,3725,327,US,10,0,0,0,0,0,0,0,0,0,0,0,0,0
49830998,621197,140,3725,327,US,3,1,0,0,0,0,0,0,0,0,0,0,0,0
52870078,621197,140,3725,327,US,15,0,0,0,0,0,0,0,0,0,0,0,0,0
52937756,621197,140,3725,327,US,17,0,0,0,0,0,0,0,0,0,0,0,0,0
53061881,621197,140,3725,327,US,10,0,0,0,0,0,0,0,0,0,0,0,0,0
53571997,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56212162,621197,140,3725,327,US,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56355789,621197,140,3725,327,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56511874,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
59693823,621197,140,3725,327,US,2,0,0,0,0,0,0,0,0,0,0,0,0,0
60571138,621197,140,3725,327,US,4,0,0,0,0,0,0,0,0,0,0,0,0,0
60824953,621197,140,3725,327,US,9,0,0,0,0,0,0,0,0,0,0,0,0,0
62457357,621197,140,3725,327,US,9,0,0,0,0,0,0,0,0,0,0,0,0,0
